host,port,secure,anonymity,country_code,available,error_rate,average_response_time
161.35.70.249,3128,0,H,US,1,0.5,0.49
151.106.34.87,80,0,H,US,1,0.5,1.14
103.146.17.97,80,0,H,--,1,0.5,0.42
185.110.28.228,8080,1,None,IR,1,0.0,0.36
14.97.2.106,80,0,A,IN,1,0.5,0.37
154.16.63.16,3128,0,H,GB,1,0.5,0.39
173.212.202.65,80,0,H,DE,1,0.5,0.4
102.129.249.120,8080,0,H,--,1,0.5,0.09
176.9.119.170,8080,0,H,DE,1,0.5,0.19
14.97.2.106,80,0,A,IN,1,0.5,0.75
151.106.34.87,80,0,H,US,1,0.5,1.16
185.110.28.228,8080,0,A,IR,1,0.0,1.07
173.212.202.65,80,0,H,DE,1,0.5,1.16
208.80.28.208,8080,0,H,US,1,0.0,0.21
103.146.17.97,80,0,H,--,1,0.5,0.51
162.214.92.202,80,0,H,US,1,0.5,0.08
154.16.63.16,3128,0,H,GB,1,0.5,0.4
159.203.61.169,8080,0,H,CA,1,0.5,1.68
176.9.119.170,8080,0,H,DE,1,0.5,0.21
14.97.2.106,80,0,A,IN,1,0.67,1.37
88.198.50.103,8080,0,H,DE,1,0.5,0.21
102.129.249.120,8080,0,H,--,1,0.5,0.23
50.16.33.219,8080,0,H,US,1,0.5,0.05
5.252.161.48,8080,0,H,--,1,0.5,0.21
128.199.202.122,3128,0,H,SG,1,0.5,1.9
52.35.63.184,8080,0,A,US,1,0.25,1.6
114.79.146.137,8080,1,None,IN,1,0.25,2.01
114.79.146.137,8080,0,T,IN,1,0.25,2.01
193.86.229.230,8080,0,T,CZ,1,0.4,2.01
139.162.78.109,8080,0,H,JP,1,0.5,0.53
185.110.28.228,8080,0,A,IR,1,0.0,0.48
79.120.177.106,8080,1,None,HU,1,0.0,1.23
167.71.5.83,8080,0,H,US,1,0.5,0.32
162.214.92.202,80,0,H,US,1,0.5,3.62
173.212.202.65,80,0,H,DE,1,0.5,0.47
20.50.107.111,80,0,H,US,1,0.67,0.17
79.120.177.106,8080,0,T,HU,1,0.0,2.3
20.50.107.111,80,0,H,US,1,0.5,0.17
67.63.33.7,80,0,H,US,1,0.67,0.05
190.214.27.106,48586,1,None,EC,1,0.25,1.73
190.214.27.106,48586,0,H,EC,1,0.25,1.73
178.72.74.40,31372,0,H,RU,1,0.75,0.82
103.35.132.189,83,1,None,IN,1,0.4,1.61
103.35.132.189,83,0,T,IN,1,0.4,1.61
14.97.2.106,80,0,A,IN,1,0.67,2.27
109.167.134.253,30710,1,None,RU,1,0.6,1.05
187.188.167.30,3128,0,T,MX,1,0.0,0.16
187.188.167.30,3128,1,None,MX,1,0.0,0.16
124.40.55.22,8082,0,H,JP,1,0.0,0.53
173.212.202.65,80,0,H,DE,1,0.5,0.96
124.40.55.4,8082,0,H,JP,1,0.0,0.97
